n°,source,jurisprudence_id,juridiction,date_decision,article_matche,type_lien,snippet,annotation_VP_FP,commentaire,auto_annotation,auto_reason,auto_context
45,decisions_unified,judi_6137236acd5801467740970f,Cour de cassation,2000-01-11,LPF art. L16 B,CITE,"AU NOM DU PEUPLE FRANCAIS LA COUR DE CASSATION, CHAMBRE COMMERCIALE, FINANCIERE ET ECONOMIQUE, a rendu l'arrêt suivant : Sur le pourvoi formé par : 1 ) la société civile professionnelle (SCP) Pierre Y…",,,VP_MED,CGI_plus_proche_mais_autre_code_present,"ons de M. Lafortune, avocat général, et après en avoir délibéré conformément à la loi ; Sur l'exception de déchéance, relevée d'office : Vu l'article L. 16 B du Livre des procédures fiscales ; Attendu qu'aucun moyen n'est produit dans les formes et délais prévus, soit à l'article 584 du Code de proc"
46,decisions_unified,aw__Ariane_Web_AW_DCE__290299,Conseil d'État,2025-05-21,LPF art. L267,CITE,"Conseil d'État N° 476240 ECLI:FR:CECHR:2025:476240.20250521 Mentionné aux tables du recueil Lebon 3ème - 8ème chambres réunies M. Pierre Collin, président M. Nicolas Jau, rapporteur Mme Marie-Gabriell…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"tort que M. B... avait été déclaré solidairement responsable des impositions en litige par une décision juridictionnelle en application de l'article L. 267 du livre des procédures fiscales, alors qu'il l'a été sur le fondement de l'article 1745 du code général des impôts, l'erreur ainsi commise est "
47,decisions_unified,inca_JURITEXT000025993575,Cour de cassation,2012-05-16,CGI annexe art. 415,CITE,"…iment de fonds prévu et puni par l'article 222-38 du code pénal, enfin, le délit douanier de 2ème classe, réprimé par l'article 415 du code des douanes ; En cet état : Sur le premier moyen de cassation proposé pour M. X..., pris de la violatio…",,,VP_MED,CGI_plus_proche_mais_autre_code_present,"es, le délit de blanchiment de fonds prévu et puni par l'article 222-38 du code pénal, enfin, le délit douanier de 2ème classe, réprimé par l'article 415 du code des douanes ; En cet état : Sur le premier moyen de cassation proposé pour M. X..., pris de la violation des articles 6 de la Convention e"
48,decisions_unified,judi_5fd90bb54ca941a4bc9f9091,Cour de cassation,2017-03-01,CGI art. 1727,CITE,"…3 %) pour chacune des années 2005, 2006,2007 et 2008, ainsi que les intérêts de retard échus au taux prévu aux articles 1727 et suivants du CGI pour les périodes concernées, soit : - 2.646,00 € pour la taxe due en 2005, - 1.776,00 € pour la tax…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"e 12.000,00 €' (400.000,00 € x3 %) pour chacune des années 2005, 2006,2007 et 2008, ainsi que les intérêts de retard échus au taux prévu aux articles 1727 et suivants du CGI pour les périodes concernées, soit : - 2.646,00 € pour la taxe due en 2005, - 1.776,00 € pour la taxe due en 2006, - 1.200,00 "
49,decisions_unified,judi_614035cf427631e1e7898329,Cour de cassation,2007-09-19,CGI art. 435,CITE,"… de 1 334 499 euros (article 414 du code des douanes), ainsi qu'à une somme de 1 334 499 euros à titre de confiscation (article 435 du code des douanes), outre un montant de 246 674,55 euros représentant les droits et taxes éludés (article 377…",,,VP_MED,CGI_plus_proche_mais_autre_code_present,"chevaux de polo en provenance d'Argentine ; En cet état : Sur le premier moyen de cassation, pris de la violation des articles 399, 406, 426 3°, 414, 435 du code des douanes, 29 à 32 du code des douanes communautaire, 388, 520, 551, 591 à 593 du code de procédure pénale, 6 § 3 de la Convention europ"
50,decisions_unified,aw__Ariane_Web_AW_DCE__240298,Conseil d'État,2022-06-14,CGI art. 1788 A,CITE,…e à la Cour européenne des droits de l'homme une demande d'avis portant sur la compatibilité des dispositions du 4 de l'article 1788 A du code général des impôts avec les stipulations de la convention européenne de sauvegarde des droits de l'homm…,,,VP_MED,CGI_plus_proche_mais_autre_code_present,atuer et de transmettre à la Cour européenne des droits de l'homme une demande d'avis portant sur la compatibilité des dispositions du 4 de l'article 1788 A du code général des impôts avec les stipulations de la convention européenne de sauvegarde des droits de l'homme et des libertés fondamentales 
51,decisions_unified,judi_61372708cd58014677429da5,Cour de cassation,2009-03-31,LPF art. L262,CITE,"LA COUR DE CASSATION, CHAMBRE COMMERCIALE, a rendu l'arrêt suivant : Sur le premier moyen : Vu l'article L. 262 du livre des procédures fiscales ; Attendu, selon l'arrêt attaqué, que Mme X..., titulai…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"LA COUR DE CASSATION, CHAMBRE COMMERCIALE, a rendu l'arrêt suivant : Sur le premier moyen : Vu l'article L. 262 du livre des procédures fiscales ; Attendu, selon l'arrêt attaqué, que Mme X..., titulaire d'un compte courant ouvert dans les livres du Crédit lyonn"
52,decisions_unified,aw__Ariane_Web_AW_DCA__4899,Cour administrative d'appel,2004-10-08,CGI art. 262 ter,CITE,…lieu de les joindre pour statuer par un seul arrêt ; Sur le bien-fondé des impositions : Considérant qu'aux termes de l'article 262 ter du code général des impôts : «I. Sont exonérés de taxe sur la valeur ajoutée : 1° Les livraisons de biens expéd…,,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,ccessives ; qu'il y a lieu de les joindre pour statuer par un seul arrêt ; Sur le bien-fondé des impositions : Considérant qu'aux termes de l'article 262 ter du code général des impôts : «I. Sont exonérés de taxe sur la valeur ajoutée : 1° Les livraisons de biens expédiés ou transportés sur le terri
53,decisions_unified,aw__Ariane_Web_AW_DCE__62949,Conseil d'État,1988-12-07,CGI art. 42 septies,CITE,"…suite, le moyen que tire la société ""CASTRES SPECTACLES"" de la méconnaissance par l'admnistration des dispositions de l'article 42 septies du code général des impôts est inopérant ; Considérant que la société requérante n'a pas déféré à la demande qu…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"de cinéma ; que, par suite, le moyen que tire la société ""CASTRES SPECTACLES"" de la méconnaissance par l'admnistration des dispositions de l'article 42 septies du code général des impôts est inopérant ; Considérant que la société requérante n'a pas déféré à la demande qui lui a été faite par le Cons"
54,decisions_unified,inca_JURITEXT000007432517,Cour de cassation,2001-12-18,CGI art. 1965,CITE,"…a restitution, en cas de paiement indu, à un régime analogue à celui prévu en matière de contributions indirectes par l'article 1965 FA du Code général des impôts ; D'où il suit que le moyen n'est fondé en aucune de ses branches ; Et sur le sec…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"uanes dont il soumet la restitution, en cas de paiement indu, à un régime analogue à celui prévu en matière de contributions indirectes par l'article 1965 FA du Code général des impôts ; D'où il suit que le moyen n'est fondé en aucune de ses branches ; Et sur le second moyen, pris en ses trois branc"
55,decisions_unified,aw__Ariane_Web_AW_DCE__293357,Conseil d'État,2025-07-04,CGI art. 1499,CITE,"…lissement industriel, c'est-à-dire ceux de ces biens qui relèvent d'un établissement qualifié d'industriel au sens de l'article 1499, qui sont spécifiquement adaptés aux activités susceptibles d'être exercées dans un tel établissement et qui ne…",,,DOUTE,num_present_sans_contexte_clair,"exploitation d'un établissement industriel, c'est-à-dire ceux de ces biens qui relèvent d'un établissement qualifié d'industriel au sens de l'article 1499, qui sont spécifiquement adaptés aux activités susceptibles d'être exercées dans un tel établissement et qui ne sont pas au nombre des éléments m"
56,decisions_unified,aw__Ariane_Web_AW_DCE__66017,Conseil d'État,1991-04-10,CGI art. 125 B,CITE,"…r assujettissement à un prélèvement qui libère les revenus auxquels il s'applique de l'impôt sur le revenu ..."" ; que l'article 125 B du même code précise : ""I. L'option pour le prélèvement visé au I de l'article 125-A n'est pas admise en ce qui…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"du gouvernement ; Considérant qu'aux termes de l'article 125-A du code général des impôts : ""I. Sous réserve des dispositions des articles 119 bis et 125 B, les personnes physiques qui bénéficient d'intérêts, arrérages ... dont le débiteur est domicilié ou établi en France, peuvent opter pour leur a"
57,decisions_unified,judi_613727dfcd5801467742e41d,Cour de cassation,2011-07-12,CGI art. 990 E,CITE,"…, afin de déterminer le siège de direction effective, la cour d'appel a privé sa décision de base légale au regard de l'article 990 E du code général des impôts ; Mais attendu que l'arrêt relève que, pendant la période concernée par le redressem…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"cachon, étaient prises, afin de déterminer le siège de direction effective, la cour d'appel a privé sa décision de base légale au regard de l'article 990 E du code général des impôts ; Mais attendu que l'arrêt relève que, pendant la période concernée par le redressement, les statuts de la société At"
58,decisions_unified,inca_JURITEXT000007516232,Cour de cassation,2006-12-12,LPF art. L180,CITE,"AU NOM DU PEUPLE FRANCAIS LA COUR DE CASSATION, CHAMBRE COMMERCIALE, FINANCIERE ET ECONOMIQUE, a rendu l'arrêt suivant : Sur le moyen unique : Attendu, selon l'arrêt attaqué (Paris, 3 juin 2005), qu'a…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"X... font grief à l'arrêt d'avoir rejeté la fin de non-recevoir tirée de la prescription triennale, alors, selon le moyen, qu'aux termes de l'article L.180 du livre des procédures fiscales, le délai de reprise de trois ans n'est opposable à l'administration que si l'exigibilité des droits et taxes a"
59,decisions_unified,inca_JURITEXT000022366942,Cour de cassation,2010-05-19,CGI art. 1791,CITE,"…e agréé récoltant sur la commune de Sainte-Lheurine, à deux amendes fiscales de 300 euros chacune sur le fondement de l'article 1791 du code général des impôts et, pour la campagne 2005/2006, à une pénalité fiscale de 16 000 euros le fondement …",,,VP_MED,CGI_plus_proche_mais_autre_code_present,"violé les textes susvisés"" ; Sur le second moyen de cassation, proposé pour Pascal X..., pris de la violation des articles 113-1 du code pénal, 407, 1791 et 1794 du code général des impôts, et 593 du code de procédure pénale, défaut de motifs ; ""en ce que l'arrêt confirmatif attaqué a condamné Pasca"
60,decisions_unified,aw__Ariane_Web_AW_DCE__239272,Conseil d'État,2022-04-14,CGI art. 1380,CITE,"… du 21 décembre 2017 en tant qu'ils rejettent ses demandes relatives à la taxe foncière sur les propriétés bâties. 3. L'article 1380 du code général des impôts dispose : "" La taxe foncière est établie annuellement sur les propriétés bâties sise…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"n contre les jugements du 21 décembre 2017 en tant qu'ils rejettent ses demandes relatives à la taxe foncière sur les propriétés bâties. 3. L'article 1380 du code général des impôts dispose : "" La taxe foncière est établie annuellement sur les propriétés bâties sises en France à l'exception de celle"
61,decisions_unified,aw__Ariane_Web_AW_DCE__89390,Conseil d'État,2007-05-21,LPF art. L66,CITE,"Conseil d'État N° 278275 ECLI:FR:CESSR:2007:278275.20070521 Mentionné au tables du recueil Lebon Section du Contentieux M. Martin, président M. Laurent Cabrera, rapporteur M. Glaser, commissaire du go…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"larations de résultats, elle a été taxée d'office à l'impôt sur les sociétés au titre des exercices clos en 1993 et 1994, en application de l'article L. 66 du livre des procédures fiscales ; que l'administration a notamment procédé à la taxation d'une plus-value à long terme d'un montant de 2 050 00"
62,decisions_unified,inca_JURITEXT000007606668,Cour de cassation,2003-06-12,LPF art. L16 B,CITE,"AU NOM DU PEUPLE FRANCAIS LA COUR DE CASSATION, CHAMBRE CRIMINELLE, en son audience publique tenue au Palais de Justice à PARIS, le douze juin deux mille trois, a rendu l'arrêt suivant : Sur le rappor…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"en raison de la connexité ; Vu les mémoires produits, en demande et en défense ; Sur le premier moyen de cassation, pris de la violation de l'article L. 16 B du Livre des procédures fiscales ; ""en ce que M. Jean-Pierre Y..., vice-président du tribunal de grande instance de Nice, juge des libertés et"
63,decisions_unified,judi_5fca772ba5785164ac345aa2,Cour de cassation,2019-02-20,CGI annexe art. 8,CITE,"…e, le magistrat délégué a privé sa décision de base légale au regard des exigences de l'article L. 16 B susvisé et de l'article 8 de la Convention de sauvegarde des droits de l'homme et des libertés fondamentales ; 2°/ que les charges financ…",,,DOUTE,num_present_sans_contexte_clair,". JT COUR DE CASSATION ______________________ Audience publique du 20 février 2019 Rejet Mme MOUILLARD, président Arrêt n° 152 F-D Pourvoi n° Q 17-26.807 R É P U B L I Q U E F R A N Ç A I S E _________________________ AU NOM DU PEUPLE FRANÇAIS _________________________ LA COUR DE CASSATION, CHAMBRE "
64,decisions_unified,judi_5fca72f59675535f92642e70,Cour de cassation,2019-04-04,CGI art. 777,CITE,"…stion prioritaire de constitutionnalité, ainsi rédigée : « L'article 752-2 du code civil et le tableau III figurant à l'article 777 du code général des impôts, dans sa rédaction issue de l'article 82 de la loi n° 2008-1425, portant loi de fina…",,,VP_MED,CGI_plus_proche_mais_autre_code_present,"tivé, présenté une question prioritaire de constitutionnalité, ainsi rédigée : « L'article 752-2 du code civil et le tableau III figurant à l'article 777 du code général des impôts, dans sa rédaction issue de l'article 82 de la loi n° 2008-1425, portant loi de finances pour 2009, tels qu'interprétés"
65,decisions_unified,aw__Ariane_Web_AW_DCA__144063,Cour administrative d'appel,2017-10-27,CGI annexe art. 74 S quinquies,CITE,…du code de justice administrative. Elle soutient que : - elle ne peut être regardée comme un intermédiaire au sens de l'article 74 S quinquies de l'annexe II au code général des impôts dès lors qu'elle acquiert des biens en son nom sans procéder concomit…,,,VP_MED,CGI_plus_proche_mais_autre_code_present,de l'article L. 761-1 du code de justice administrative. Elle soutient que : - elle ne peut être regardée comme un intermédiaire au sens de l'article 74 S quinquies de l'annexe II au code général des impôts dès lors qu'elle acquiert des biens en son nom sans procéder concomitamment à leur revente à 
66,decisions_unified,aw__Ariane_Web_AW_DCE__97107,Conseil d'État,2008-07-09,CGI art. 1496,CITE,… l'article 1498 du code général des impôts : La valeur locative de tous les biens autres que les locaux visés au I de l'article 1496 et que les établissements industriels visés à l'article 1499 est déterminée au moyen de l'une des méthodes indi…,,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,érant qu'aux termes de l'article 1498 du code général des impôts : La valeur locative de tous les biens autres que les locaux visés au I de l'article 1496 et que les établissements industriels visés à l'article 1499 est déterminée au moyen de l'une des méthodes indiquées ci-après : / 1º Pour les bie
67,decisions_unified,judi_613728f4cd58014677433a4d,Cour de cassation,2014-06-24,CGI art. 1840,CITE,…e la promesse était de nature synallagmatique et qu'elle ne pouvait être annulée pour non-respect des dispositions de l'article 1840-A du code général des impôts relatives aux formalités d'enregistrement ; (¿) Il convient de confirmer le jugeme…,,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,miers juges ont dit que la promesse était de nature synallagmatique et qu'elle ne pouvait être annulée pour non-respect des dispositions de l'article 1840-A du code général des impôts relatives aux formalités d'enregistrement ; (¿) Il convient de confirmer le jugement qui a dit que la promesse de ve
68,decisions_unified,inca_JURITEXT000007417991,Cour de cassation,2001-06-07,CGI art. 1134,CITE,"… actuelle que par la production d'une déclaration de revenus non certifiée par l'administration fiscale (violation de l'article 1134 du Code civil) ; Mais attendu que, pour évaluer le préjudice professionnel de M. X..., l'arrêt retient que, si …",,,FP_HIGH,autre_code_seul,"ablissait sa situation actuelle que par la production d'une déclaration de revenus non certifiée par l'administration fiscale (violation de l'article 1134 du Code civil) ; Mais attendu que, pour évaluer le préjudice professionnel de M. X..., l'arrêt retient que, si son licenciement pour inaptitude p"
69,decisions_unified,aw__Ariane_Web_AW_DCE__79944,Conseil d'État,1998-04-27,CGI art. 261,CITE,…e catégorie de professionnels ne méconnaît pas davantage le principe d'égalité ; Sur le moyen tiré de la violation de l'article 261 du code général des impôts : Considérant que l'article 2 de l'arrêté attaqué prévoit notamment que le devis dét…,,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"que pas à cette seconde catégorie de professionnels ne méconnaît pas davantage le principe d'égalité ; Sur le moyen tiré de la violation de l'article 261 du code général des impôts : Considérant que l'article 2 de l'arrêté attaqué prévoit notamment que le devis détaillé doit mentionner ""la somme glo"
70,decisions_unified,judi_6079d4d29ba5988459c59f9e,Cour de cassation,2007-03-06,LPF art. L76,CITE,"Attendu, selon l'arrêt attaqué (Versailles, 24 février 2005), que la société Imperium finance and trust company (la société), dont le siège social est situé en Suisse, est propriétaire depuis 1992 d'u…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"é sa demande, alors, selon le moyen, que si la procédure d'imposition d'office telle qu'elle résulte des dispositions combinées des articles L. 66 et L. 76 du livre des procédures fiscales, a pour effet d'écarter la procédure de redressements contradictoire définie par les articles L. 55 à L. 61 du "
71,arianeweb_decisions,_Ariane_Web_AW_DCE__104597,CE,2005-07-27,CGI art. 1692,CITE,"…t le versement a été différé ; que, par ailleurs, aucune disposition du code général des impôts, notamment ses articles 1692 à 1697, ne prévoit que les dettes de taxe sur la valeur ajoutée puissent être acquittées par le moyen de la cession de …",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"5 % du montant des sommes dont le versement a été différé ; que, par ailleurs, aucune disposition du code général des impôts, notamment ses articles 1692 à 1697, ne prévoit que les dettes de taxe sur la valeur ajoutée puissent être acquittées par le moyen de la cession de créances ; Considérant, en "
72,arianeweb_decisions,_Ariane_Web_AW_DCA__143553,CAA,2016-06-02,CGI art. 63,CITE,"…31 décembre 2005 dans la catégorie des bénéfices non commerciaux relevaient des bénéfices agricoles en application de l'article 63 du code général des impôts et que, d'autre part, au vu des conditions matérielles d'exploitation et des élément…",,,FP_HIGH,autre_code_seul,"vrement de l'impôt. Par un jugement n° 1301767 du 5 mars 2015, le tribunal administratif de Nancy a condamné l'État à verser à M. A...une somme de 52 637,91 euros à titre de dommages et intérêts ainsi qu'une somme de 2 000 euros en application de l'article L. 761-1 du code de justice administrative "
73,arianeweb_decisions,_Ariane_Web_AW_DCA__5339,CAA,1996-12-05,LPF art. L80,CITE,"Cour administrative d'appel de Paris N° 95PA00735 Mentionné au tables du recueil Lebon 2E CHAMBRE Mme Lefoulon, président Mme Tandonnet-Turot, rapporteur Mme Martel, commissaire du gouvernement Lectur…",,,DOUTE,num_present_sans_contexte_clair,ne peut être regardée comme contenant une interprétation formelle du texte fiscal opposable à l'administration en vertu des dispositions de l'article L.80A du livre de procédures fiscales ; que M. Y... ne saurait davantage se prévaloir de cette réponse sur le fondement des dispositions de l'article 
74,arianeweb_decisions,_Ariane_Web_AW_DCE__90219,CE,2008-12-26,LPF art. L56,CITE,"Conseil d'État N° 295943 ECLI:FR:CESSR:2008:295943.20081226 Mentionné au tables du recueil Lebon Section du Contentieux M. Martin, président M. Benoit Bohnert, rapporteur M. Collin Pierre, commissaire…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"près l'avoir, conformément au principe général des droits de la défense, mis à même de présenter ses observations ; que les dispositions de l'article L. 56 du livre des procédures fiscales, en vertu desquelles la procédure de redressement contradictoire prévue par les articles L. 55 à L. 61 de ce li"
75,arianeweb_decisions,_Ariane_Web_AW_DCE__74374,CE,1967-11-24,CGI art. 156,CITE,"…as été déduits du revenu global du contribuable, le Tribunal administratif de ... s'est fondé sur les dispositions de l'article 156 du Code général des impôts invoquées par les demandeurs, aux termes desquelles : ""l'impôt sur le revenu des per…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"é agricole n'avaient pas été déduits du revenu global du contribuable, le Tribunal administratif de ... s'est fondé sur les dispositions de l'article 156 du Code général des impôts invoquées par les demandeurs, aux termes desquelles : ""l'impôt sur le revenu des personnes physiques est établi d'après"
76,arianeweb_decisions,_Ariane_Web_AW_DCE__83890,CE,1984-02-06,CGI art. 81,CITE,"…n second lieu, que, M. X..., soutient que le revenu litigieux est affranchi d'impôt en vertu des dispositions du 1 de l'article 81 du code général des impôts, en alléguant qu'il s'agit d'allocations spéciales destinées à couvrir des frais inh…",,,DOUTE,num_present_sans_contexte_clair,"ent Lecture du 6 février 1984 REPUBLIQUE FRANCAISE AU NOM DU PEUPLE FRANCAIS Requête de M. X... tendant à : 1° l'annulation du jugement du 30 avril 1981, du tribunal administratif de Paris rejetant sa demande en décharge du complément d'impôt sur le revenu auquel il a été assujetti, au titre de l'an"
77,arianeweb_decisions,_Ariane_Web_AW_DCA__4869,CAA,2005-06-24,CGI art. 223 A,CITE,…itre préjudiciel à la Cour de justice des Communautés européennes la question de la compatibilité des dispositions de l'article 223 A du code général des impôts avec les stipulations de l'article 43 du Traité des Communautés européennes ; 4) de …,,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"iaire, de renvoyer à titre préjudiciel à la Cour de justice des Communautés européennes la question de la compatibilité des dispositions de l'article 223 A du code général des impôts avec les stipulations de l'article 43 du Traité des Communautés européennes ; 4) de condamner l'Etat à lui verser une"
78,arianeweb_decisions,_Ariane_Web_AW_DCE__244236,CE,2023-03-01,CGI art. 223 sexies,CITE,"…21 mars 2001, publiée le 30 du même mois au bulletin officiel des impôts, relatifs au précompte mobilier institué par l'article 223 sexies du code général des impôts. Il y a lieu de joindre ces requêtes pour y statuer par une même décision. 2. Par un…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"struction 4 J-1-01 du 21 mars 2001, publiée le 30 du même mois au bulletin officiel des impôts, relatifs au précompte mobilier institué par l'article 223 sexies du code général des impôts. Il y a lieu de joindre ces requêtes pour y statuer par une même décision. 2. Par une décision avant dire droit "
79,arianeweb_decisions,_Ariane_Web_AW_DCE__88651,CE,2006-09-27,CGI art. 158 bis,CITE,"…de l'arrêt attaqué : Sans qu'il soit besoin d'examiner les autres moyens de la requête ; Considérant qu'aux termes de l'article 158 bis du code général des impôts, dans sa rédaction alors applicable : Les personnes qui perçoivent des dividendes di…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"endant à l'annulation de l'arrêt attaqué : Sans qu'il soit besoin d'examiner les autres moyens de la requête ; Considérant qu'aux termes de l'article 158 bis du code général des impôts, dans sa rédaction alors applicable : Les personnes qui perçoivent des dividendes distribués par des sociétés franç"
80,arianeweb_decisions,_Ariane_Web_AW_DCA__143419,CAA,2016-01-07,LPF art. L80 A,CITE,"CAA de NANTES N° 14NT01237 1ère chambre Mme AUBERT, président Mme Marie-Paule ALLIO-ROUSSEAU, rapporteur Mme WUNDERLICH, rapporteur public SCP RECK BRUN, avocats Lecture du jeudi 7 janvier 2016 REPUBL…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"lation fiscale ainsi que dans un avis du service des impôts de Guebwiller du 9 avril 2013 dont elle entend se prévaloir sur le fondement de l'article L. 80 A du livre des procédures fiscales. Par un mémoire en défense, enregistré le 15 décembre 2014, le ministre des finances et des comptes publics c"
81,arianeweb_decisions,_Ariane_Web_AW_DCE__61830,CE,1997-05-12,LPF art. L80 A,CITE,"Conseil d'État N° 140887 ECLI:FR:CESSR:1997:140887.19970512 Mentionné au tables du recueil Lebon Section du Contentieux M. Groux, président M. Hourdin, rapporteur M. Loloum, commissaire du gouvernemen…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"insi, M. X... devait être regardé comme ayant, implicitement, mais nécessairement, demandé à bénéficier de ces mesures, sur le fondement de l'article L. 80 A du livre des procédures fiscales ; qu'en qualifiant d'inopérant le moyen tiré devant le tribunal administratif par M. X... de ce que l'adminis"
82,arianeweb_decisions,_Ariane_Web_AW_DCE__302400,CE,2025-11-24,CGI art. 39,CITE,"…rrespondant à l'application du taux de 3,39 %, égal à la limite de déductibilité des intérêts résultant du 3° du 1 de l'article 39 du code général des impôts et du I de l'article 212 du même code. Estimant qu'elle avait à tort limité le monta…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"ères, pour le calcul de son bénéfice imposable à l'impôt sur les sociétés, que la fraction de ces intérêts correspondant à l'application du taux de 3,39 %, égal à la limite de déductibilité des intérêts résultant du 3° du 1 de l'article 39 du code général des impôts et du I de l'article 212 du même "
83,arianeweb_decisions,_Ariane_Web_AW_DCE__297682,CE,2025-09-17,CGI art. 1498,CITE,"…ative non révisée au 1er janvier 2017, cette majoration ou minoration de valeur locative est celle mentionnée au I de l'article 1498 du même code, déterminée selon les modalités prévues à cet article, corrigée par le coefficient de neutralisati…",,,DOUTE,num_present_sans_contexte_clair,"son avec la valeur locative non révisée au 1er janvier 2017, cette majoration ou minoration de valeur locative est celle mentionnée au I de l'article 1498 du même code, déterminée selon les modalités prévues à cet article, corrigée par le coefficient de neutralisation prévu par le I de l'article 151"
84,arianeweb_decisions,_Ariane_Web_AW_DCE__65949,CE,1986-04-07,CGI art. 155,CITE,"… assignées au titre des années 1974 et 1976 à la suite de la décision prise par l'administration, sur le fondement de l'article 155 du code général des impôts, d'assujettir en raison de la prédominance prises par ses activités commerciales, l'…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"revenu qui lui ont été assignées au titre des années 1974 et 1976 à la suite de la décision prise par l'administration, sur le fondement de l'article 155 du code général des impôts, d'assujettir en raison de la prédominance prises par ses activités commerciales, l'ensemble des revenus qu'il avait ré"
85,arianeweb_decisions,_Ariane_Web_AW_DCE__88688,CE,2006-08-04,LPF art. L48,CITE,"Conseil d'État N° 264624 ECLI:FR:CESSR:2006:264624.20060804 Mentionné au tables du recueil Lebon 10ème et 9ème sous-sections réunies M. Martin, président M. Yves Salesse, rapporteur Mlle Verot, commis…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"éclamations du contribuable est sans incidence sur la régularité de l'imposition ; Considérant que dans sa rédaction applicable à l'espèce, l'article L 48 du livre des procédures fiscales n'impose pas à l'administration de faire connaître au contribuable qui n'en a pas fait la demande les conséquenc"
86,inca,JURITEXT000038060695,CHAMBRE_CIVILE_3,2019-01-17,CGI art. 261 D,CITE,"…n générale des finances publiques concernant les dispositions particulières à la location en meublé en application de l'article 261 D du Code général des impôts, il doit être considéré que la location à un exploitant qui, sous sa seule responsab…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"et 2009 de la Direction générale des finances publiques concernant les dispositions particulières à la location en meublé en application de l'article 261 D du Code général des impôts, il doit être considéré que la location à un exploitant qui, sous sa seule responsabilité, effectue des prestations d"
87,inca,JURITEXT000007158874,CHAMBRE_COMMERCIALE,1992-06-30,CGI art. 793,CITE,"… après en avoir délibéré conformément à la loi ; Donne défaut contre Mlle de Witasse-Thezy ; Sur le moyen unique : Vu l'article 793-1-4° du Code général des impôts, en sa rédaction applicable en la cause ; Attendu qu'aux termes de ce texte, l'…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"il, avocat général, et après en avoir délibéré conformément à la loi ; Donne défaut contre Mlle de Witasse-Thezy ; Sur le moyen unique : Vu l'article 793-1-4° du Code général des impôts, en sa rédaction applicable en la cause ; Attendu qu'aux termes de ce texte, l'exonération de droits de mutation à"
88,inca,JURITEXT000046990068,CHAMBRE_COMMERCIALE,2023-01-04,CGI art. 1740 A,CITE,"…ue si ces dispositions ont été abrogées à compter du 1er janvier 2006, elles ont été reprises dans les mêmes termes à l'article 1740 A du code général des impôts, d'autre part, que même si la loi n° 2007-1223 du 21 août 2007, qui a créé une réduc…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"aient été posées, et que si ces dispositions ont été abrogées à compter du 1er janvier 2006, elles ont été reprises dans les mêmes termes à l'article 1740 A du code général des impôts, d'autre part, que même si la loi n° 2007-1223 du 21 août 2007, qui a créé une réduction d'ISF, a été promulguée pos"
89,inca,JURITEXT000024592276,CHAMBRE_COMMERCIALE,2011-09-20,CGI art. 885 N,CITE,"…ent du 21 décembre 2006, et confirmé le jugement du tribunal de grande instance de Nanterre retenant l'application de l'article 885 N du C.G.I. ; AUX MOTIFS PROPRES QUE il n'est pas contesté que M. Albert X... exerçait personnellement une activi…",,,VP_HIGH,CGI/LPF_nomme_pas_autre_code,"n ne serait pas de nature à permettre l'admission du pourvoi ; Mais sur le moyen unique, pris en sa première branche : Vu les articles 885 A 1° et 2°,885 N et 885 O bis du code général des impôts ; Attendu qu'il résulte de ces textes et du rapprochement de leurs dispositions que seules les personnes"
